7.822939866369710282e-02,2.423399049623877755e+00
8.143095768374164489e-02,2.409912333024286646e+00
8.282293986636971028e-02,2.404714529493213959e+00
8.212694877505567759e-02,2.399757072988864426e+00
8.240534521158128511e-02,2.395665394521392599e+00
7.906458797327393928e-02,2.393142847888237501e+00
7.976057906458797198e-02,2.389477366894747323e+00
7.864699331848552799e-02,2.387536641770759527e+00
7.878619153674833175e-02,2.386199687434508832e+00
8.184855233853007006e-02,2.384375808513270023e+00
9.395879732739420565e-02,2.384641430019277308e+00
9.590757238307349997e-02,2.382441402536577879e+00
9.674276169265033642e-02,2.382579771818313041e+00
9.757795100222717288e-02,2.382624651478455036e+00
9.869153674832961687e-02,2.381876310416027653e+00
9.896993318485523827e-02,2.379813149967024977e+00
9.910913140311804204e-02,2.380697463466002972e+00
9.827394209354120558e-02,2.379520454237946225e+00
9.883073496659243451e-02,2.378907509609661464e+00
9.841314031180400934e-02,2.378499406628904023e+00
9.771714922048997665e-02,2.379242529911277604e+00
9.855233853006681310e-02,2.379335711487626792e+00
9.910913140311804204e-02,2.377979865116355729e+00
9.827394209354120558e-02,2.378279717622604927e+00
1.016146993318485514e-01,2.376860964614733174e+00
1.021714922048997803e-01,2.376831153852749789e+00
1.024498886414253879e-01,2.375967838067924109e+00
1.041202672605790608e-01,2.376168263696991190e+00
1.052338530066815186e-01,2.375950882920121909e+00
1.080178173719376356e-01,2.374919216189764093e+00
1.076002227171492243e-01,2.374420423423294402e+00
1.074610244988864205e-01,2.374762307226130353e+00
1.092706013363028972e-01,2.374402044093714359e+00
1.089922048997772897e-01,2.374503981750623272e+00
1.095489977728285047e-01,2.373066541367927496e+00
1.101057906458797336e-01,2.372905553969661963e+00
1.103841870824053412e-01,2.371789506051392493e+00
1.112193763919821776e-01,2.371024123335306655e+00
1.124721603563474392e-01,2.370018758605011655e+00
1.112193763919821776e-01,2.371043506976777682e+00
1.117761692650334066e-01,2.370176152845399731e+00
